id,about,sector
1,"Welcome to 123 Print, your go-to printers based in Balbriggan, Co. Dublin. As a trusted local and online print service, we pride ourselves on offering a wide range of on budget print and signage solutions to customers large and small all over Ireland. We understand the importance of quality and efficiency. Whether you need beautiful business cards, fabulous flyers, or eye catching signage we've got you covered with top-notch printing services tailored to your needs. Our website makes ordering a breeze. Each product is online with up to date pricing all ready to spec and upload your artwork. Being based in Balbriggan our local presence ensures personalised attention and prompt service for customers and businesses based in the surrounding areas. We believe in straightforward pricing and transparent communication every step of the way.",print
2,"The delivery services of 247 Transnet are available for both business and personal customers. We provide an agency service for small businesses with same day, next and economy options available. Same day and next day economy delivery is offered thoughout Northern Ireland, next working day delivery to Southern Ireland, UK Mainland and near EU countries for letters, documents, parcels. Economy options available to UK Mainland, EU and international destinations. We are a local family owned business, it is our aim to provide you with the fastest, most cost effective and efficient delivery service we possibly can.",transportation
3,"With more than 25 years of experience and using our extensive in-house capabilities, we create a seamless brand, product and service experience. To do so, our areas of competence are networked in a focused manner. This allows us to devise implementation oriented brand solutions at the cutting edge from consultation, conception through to manufacture, production and installation. Our vision is to provide professional, streamlined solutions for all your visual identity. We bring technical expertise, innovative thinking and a dynamic approach to every project. Our skilled team ensure that your ideas are brought to life and delivered with maximum impact. With a dedication to providing unparalleled service we're the preferred partner for design agencies, retail companies and franchise operations who need to implement multiple locations on time every time. With modern manufacturing processes, design and project management, maintenance and installation teams, we have the in-house capabilities to handle all your signage and branding needs.",print
4,Haulage & Storage North/South HAULAGE TANKER/ADR SPECIALISTS,transportation
5,"A.Giffney and Sons Ltd. provides clients with the very latest in home renovations and home extensions. Our extremely experienced builders are available to clients all over North Dublin. We have been established since 1987, with over three decades of experience, our native Whitehall builders, have amassed a stellar reputation for the unbeatable quality of our workmanship and our competitive pricing structures. Where possible, all our renovations convert properties to A-rated energy efficient buildings. We are a partner of Sustainable Energy Ireland and a member of the Guild of Master Craftsmen.Our team of highly experienced, Whitehall based builders, are also available to insurance companies.",construction
6,"AJM Engineering are an Engineering and Manufacturing company in Co.Armagh, Northern Ireland. We have been in production for 11 years and support a lot of large companies such as Hyster-Yale forklifts, Northern Hydraulics, IBCC, PSI and Scholle packaging to name but a few and we also support many local companies to help with their manufacturing needs. From concept and design through to planning and production, AJM Engineering can support your every need and with years of experience in procurement of cast products - complex assemblies and plastic injection moulded components, we can offer a complete package to your production requirements. Global Supply We have supported and supplied Hyster-Yale Group for the past 7 years globally with the production of the ISS project for their 1-5 ton forklifts. We are honoured to have been trusted with the supply of such an important part of their production and continue to work with the design teams and production plants in Hyster-Yale to develop new ideas and help with production. Multi Disciplinary We have great relationships within different fields of manufacturing and have been greatly regarded by all the above brands and more. With our ability to work from design and development right through to production. AJM has a proven track record for delivering what is required. Innovative We have even designed and patented some of our own products that are now used throughout Britain and Ireland for BT Openreach and have been very well received and BT have been able to take advantage of all that we offer.",engineering
7,At AD Pottie & CO we focus on your future and what you want from your business. We aim to help you realise the future you want for your family and give you the framework of how to achieve this. We provide innovative strategies and systems tailored to you and your business needs to create your families future today.,finance
8,"A.J. Armstrong is a family owned business and since formed has gone from strength to strength whilst continuing to pride itself in the high standard of Repairing and Servicing JCB's the business has continued to expand branching out into the sales of New and Second Hand Machinery. The Proprietor, Andrew Armstrong started his business in 2005 repairing and servicing JCB machinery on his own drawing on the experience he gained growing up on a farm and in his employment to this date. Over the years the business has steadily grown to the present day where he now employs 5 full time staff to keep up with demand of his services, a growth sustained by his belief in quality, service and dedication to his customers. We here at A.J. Armstrong service and repair all types of JCBs and Agriculture Machinery such as Loadalls, Forklifts, Telescopic Handlers, Iveco Lorries, etc. Our staff are fully trained, very experienced and knowledgeable in a wide variety of Machinery to provide the highest level of customer care and support. Our business is constantly expanding to accommodate our customers needs. In the last few years demand for New and Second Hand Machinery has meant that A.J. Armstrong is now very competitive in this area. Please take a moment to browse our website, it is continually updated on a weekly basis, you never know you may find something of interest....",construction
9,"A1 Tradesmen Ltd prides itself in its quality workmanship, General building contractor, 24/7 reactive",construction
10,"Abac Chartered Accountants based in Omagh Co Tyrone, and serving Strabane, Cookstown, Dungannon and Enniskillen, was started to help local businesses succeed. As well as providing all the normal services that an accountant provides Abac adopts a modern day approach to helping your business achieve its goals. We offer a full range of support services including personal and business tax planning, bookkeeping services, VAT and payroll as well as prompt preparation of accounts. We can take care of routine financial and accounting operations, giving you peace of mind and the time to run and grow your business. We are also here to offer help and advice in terms of your personal tax affairs - please contact us today if you think we may be of assistance. At Abac, we pride ourselves on offering a friendly, prompt and efficient service. We offer comprehensive accounting and taxation advice for small and medium size enterprises, start-ups and individuals.",finance
11,WE HAVE BEEN MANUFACTURING PRINT FOR ALMOST 30 YEARS NOW AND HAVE CUSTOMERS THROUGHOUT THE UK AND IRELAND. WE MANUFACTURE FOR A WIDE RANGE OF BUSINESS'S FROM PRINT MANAGEMENT COMPANIES TO INDIVIDUALLY OWNED COMPANIES AS WELLAS A BROAD RANGE OF GOVERNMENT BODIES. NO JOB TOO BIG OR TOO SMALL.,print
12,"With a well-established track record, Abacus Systems reduces operational risk, develops robust business processes with risk-free solutions to protect our customers businesses from issues such as; data loss, data leakage, skills shortages, energy waste, overloaded legacy systems, and, ultimately, the failure of business processes. With leading technical expertise and practical management skills, Abacus Systems is your partner of choice for technology solutions. As a leading provider of quality services and products, combined with a proven record, we always aim to exceed our clients' expectations when addressing their IT challenges.",it
13,"Abbey Labels offers cost-effective print solutions to our wide spectrum of clients. We are a family run business delivering big company cost effectiveness and customer service. Our portfolio of labeling products has created an ongoing supply chain to the meat manufacturing, food processing, industrial, and the retail sector throughout Great Britain and Ireland. We specialize in providing labels for Butchers, Bakery's and local supermarkets.",print
14,"Founded in 1983, Abbey Woods specialise in the supply of Accoya, Hardwood and Softwood Timber, Hardwood Decking, Composite Decking, Claddings, Worktops and Wood Components for use in a variety of market segments, from Building and Construction to Kitchen, Furniture and Joinery Manufacturers. In February 2019, Abbey Woods became part of the James Latham group. James Latham is one of the largest independent distributors of timber and panel products in the UK and saw the Abbey Woods brand as a perfect fit with the group. allowing access to a broader scope of products whilst also providing expertise and knowledge gained from over 260 years in the timber industry. Abbey Woods has established itself as Ireland's Specialist Timber Company, through a firm commitment to providing our customers with outstanding service and the highest quality Timber products. Our commitment to the environment was demonstrated when we became the first Timber Importer in Ireland to achieve Full Chain of Custody accreditation from BM Trada.This includes both FSC and PEFC Certification. All timber products from Abbey Woods are fully EUTR compliant. Our Goal is to continue the pursuit of new materials, new designs and the latest manufacturing technologies in order to assure the continued success of our business relations without comprising quality or sacrificing our natural forests and environment.In 2008 Abbey Woods became the distributor in Ireland for Accoya. Accoya is a structurally-modified product - acetylated in a unique process that ensures unsurpassed durability and dimensional stability. This means that it's ideal for our climate, either indoors or out. Accoya is FSC certified, non-toxic and carries the highest international environmental credentials.",construction
15,At Abbeyset Print & Design we create beautiful and affordable print graphics logo and brand identity.,print
16,Acara Concepts Ltd is a distributor of natural and ecological thermal and acoustic insulation materials which offer excellent performance. Acara Concepts was established in 2007 as a small family business. From the outset our sole focus was to sell quality acoustic insulation and thermal insulation products that were made from natural and ecological materials. We source our products from Europe and distribute them throughout the UK and Ireland through a selection of stockists.,construction
17,"Search and discover. It's what we do. Search for the best people and discover the best talent. We've been searching and discovering on behalf of our clients for over 30 years and it's a skill we apply just as rigorously when selecting our own staff. As a result, we're firmly established as one of Ireland's most respected financial recruitment consultancies. Quality is our ethos. It is what we represent, what we strive for in all areas of our business, what sets us apart from the crowd and what we are recognised for in the market. Our attention to detail saves your time and delivers the best results. Go on. Search Accountancy Solutions. You'll like what you discover.",finance
18,"We supply a large range of physical security products. These products include; security roller shutters, insulated shutters, fire rated shutters, commercial shutters, industrial roller shutters, retractable security grilles, Trellidor security grilles, access barriers, anti-ram barriers and posts, garage doors, steel doors, fire doors, sectional overhead doors, smoke and fire curtains and screens, PVC strip curtains and many other physical security products. We can fit your steel and security doors, roller shutters etc. to your requirements. Call us in Dublin today on 01-8314882 for a no obligation quote. Our experienced engineers can help you with specifications and all other requirements for your project. We have a prompt and efficient repairs service which operates 24 hours a day, 365 days a year and is available throughout Dublin and the rest of Ireland. We also offer an excellent after sales service to ensure your products are operating efficiently. We are a main supplier in Ireland for Trellidor Security Grilles, which are manufactured by the Trellidor Security Group. This grille has an attack test on it which makes us unique in Ireland as no other Shutter company currently offers this. These Attack Test Grilles are a preference for the Police and all Insurance Companies and Crime Prevention Officers highly recommend them. Ace Engineering offer a full after sales service for all of our clients. If required, we can call out and give you a free survey and offer expert advice on Trellidor Security Grilles, Roller Shutters, Steel Security Doors, Access Barriers and any of the other Products that we supply. Please don't hesitate to contact us.",engineering
19,"Ace Fixings Ltd is a leading independent distributor and stockist of fixings and professional power tools from Bosch, Makita, Panasonic, Paslode, Fein, Trend and more. We stock a huge range of tools and equipment including cordless drills, screwdrivers, SDS Plus and SDS Max hammers, gas, air and shot fire nailers, grinders, sanders, planers, saws, routers and many more. We have a huge range of accessories to compliment our extensive range of tools including drill bits, grinding and cutting discs, diamond blades, Holesaws, sanding discs, belts and sheets, router bits and screwdriver bits. Fixings Ace Fixings has available a huge range of nails, screws and fixings. We stock Paslode IM65 & Paslode IM350 nails and gas, Shotfire nails, chipboard screws, drywall screws, window screws, express nails, masonry nails, frame fixings, expansion plugs, joist hangers, pipe clips, zip clips, loose bolts, through bolts, carriage bolts, roofing bolts and more.",industry
20,"With 19th century origins, Ateliers de Constructions Electriques de Charleroi (ACEC) was originally a Belgian manufacturer of electrical generation , transmission, lighting and industrial equipment. ACEC was first introduced into Ireland in 1958 and the company has seen great change since then. ACEC, as it's current entity was born when Arthur O' Connor purchased the naming rights in 1990, after years of service to the company. Arthur's leadership saw ACEC rise to the forefront of the Irish lighting scene. Now well into the second generation of O' Connor ownership the company finds itself at the forefront of LED and emergency lighting products. Always willing to explore new innovations, ACEC has strategically developed it's business to focus on: discovery and cultivation of the newest LED products, commissioning of emergency lighting products, cable management products and lighting design. Also agents with some of the worlds best lighting companies, we offer a wide offering of products meaning we can tailor to any project, specialised or other.",electrical
21,Since 1980 we have been providing signs & sinage to industry throughout the greater Dublin Area.,print
22,"FOUNDED IN 1994 EXPERIENCED, DUBLIN BASED ELECTRICIANS With over 40 years' experience in the electrical trade, the team of electricians at Active Electrical have built up a reputation for providing a reliable, friendly and high standard of workmanship to all our customers. Active Electrical are a family run business who are dedicated to satisfying customer needs and have built up a loyal clientele. Based in Templeogue, Dublin 16, our team of electricians are Safe Electric / Reci registered, fully insured and C2 tax compliant covering Dublin, Wicklow and surrounding counties. As our reputation continues to grow, so does our portfolio of clients which includes electrician works for Architects, Property/Facility Managers, Consultants and IT Managers throughout Dublin and Wicklow. It is this reputation built around our honest, friendly sales staff and first rate electrical technicians which is driving us to the forefront of our industry. We provide a range of electrician services including domestic, commercial, rewiring, new installations, grant work, C2 registered, security, emergency, outdoor, lighting, data cabling, sockets, heating systems, fuse board replacement, audio visual installation, maintenance contracts, innovative lighting design, fire alarms and more.",electrical
23,"Ad-Vance Engineering is a U.K. specialist precision engineering company, based in Northern Ireland, specialising in bespoke injection moulding tools for the plastics manufacturing industry across the globe. Our pro-active approach to the market enables us to focus on our customer's specific needs and translate their requirements in to ground breaking bespoke solutions: whether that is a brand new tool or the refurbishment of an existing tool. All our work carries a 2 year warranty to ISO 9000 standard, underpinning our commitment to delivering the highest levels of customer service. And our programme of continuous investment in state-of-the-art CNC machinery and CAD/CAM software systems ensures that we remain at the forefront of innovation. Ad-Vance Engineering offers the complete tooling solution from initial design concepts through to manufacture, testing, installation and after care support and maintenance. Indeed, our partnership with Queen's University Belfast's ""Polymer Processing Research Centre"" strengthens our proposition, enabling us to take a central role into the research and development of polymer materials and processes. So, if you are seeking an innovative partner that can guarantee to deliver results without compromising quality, helping you to minimise waste, reduce costs and improve production then Ad-Vance Engineering has to be your first choice.",industry
24,"Adept Accounting Services is headed up by Alison Furney, a fully qualified Chartered Accountant with over 25 years of experience working closely with small company directors, entrepreneurs & family owned/managed businesses. Because of this extensive experience, she has an extensive knowledge of the types of challenges and opportunities that small businesses encounter every day. At the heart of the firm's philosophy is the consideration of our client, not only providing compliance services to ensure all statutory deadlines are met, but also to delve deeper and deliver valuable, practical advice and insights to assist our clients to achieve your full business potential. This can include setting up systems & controls (using cloud accounting & innovative technologies, which can free up precious client time), preparing regular management accounts & organising review meetings to contribute analysis and advice to assist our clients in decision making for the future. Alison is also active in the local community and contributes to groups such as CAVA (Chartered Accountants Voluntary Advice) and the Dublin South West Dyspraxia Parents Support Group. She is also a member of the Network of Enterprising Women in South Dublin (NEWS) & Women in Business Network (WIBN).",finance
25,"Advanced labels We are an AA+ BRC Accredited label Printer Suppling quality labels to Irish business for over 30 years. We specialise in Retail, Food, Beverage, and Pharmaceutical Labelling Printing digitally or flexographically on both rolls and sheets using a wide range of materials and adhesives with the option of UV curing for outdoor use and lamination for added label surface protection.",print
26,"Advanced Services Ltd was set up in 1989, originally as a metal stockists and distributor. It is a family owned business, Randal Logue and his wife Marian are the company Directors. Lena Anderson is our Sales Director and our fitter Ramazan Salman manages all our repairs and installation work. We stock a wide range of products such as Digitally printed promotional products, flagpoles, flags, plastics, copper and we are the agent for Siet Neon transformers and LEDs.",print
27,"AECOM is a global network of experts working with clients, communities and colleagues to develop and implement innovative solutions to the world's most complex challenges. Delivering clean water and energy. Building iconic skyscrapers. Planning new cities. Restoring damaged environments. Connecting people and economies with roads, bridges, tunnels and transit systems. Designing parks where children play. Helping governments maintain stability and security. We connect expertise across services, markets, and geographies to deliver transformative outcomes. Worldwide, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people's lives. Imagine it. Delivered.",construction
28,"Founded in the early 1970s, AEF Limited began life as Auto Engineering Factors in Dromartin, South County Dublin. Over the past 36 years it has established itself as one of Ireland's leading engineering and industrial consumables suppliers. We import and distribute quality hand tools, fixings and fasteners, safety wear, welding equipment and power tools under well known, respected, premium brand names. Our customer base includes heavy industry, engineering workshops, trades people, mines, utility companies and government bodies. Some of the brands we distribute are Metabo, Signet, Oerlikon, Emhart, Somta, Far, Spear & Jackson and Draper. In late 2008 we moved to a brand new, state-of-the-art distribution facility which allowed us to expand our product portfolio and stockholding. Our new premises comprises an expansive showroom and trade counter so that products can be viewed and even tested in some cases! Our nationwide distribution network ensures all customers receive an overnight delivery service with customers located in the Dublin area receiving a daily delivery service. AEF is fully committed to excellence in customer service and this commitment runs through our organisation at all levels. The high standard of service we provide is central to every activity we undertake and is ingrained in all members of the AEF team.",engineering
29,"BUSINESS LINES CALLS & MOBILES We choose only the best solutions for our clients with savings and efficiency included in our consultation. Offering SIP lines and services including free calls and recording. AGAPE VOICE CLOUD This is a plug and play solution that is purpose built for business. Our voice cloud service allows for your new lines and phones to be installed in minutes not days and weeks. PHONE SYSTEMS Partnering with the strongest vendors in the market we provide on site solutions that give the latest features and benefits in the telecoms and communications field today. IT SERVICE & SUPPORT Get the solutions and services that exceed your expectations. Providing wireless networks, server, desktop and partnering with office 365 ensure we have your needs covered and cared for. Our backup solutions gives business",it
30,"TaxAssist Accountants Ballymena provides a wide range of accountancy services including tax returns, annual accounts, payroll and bookkeeping. TaxAssist Accountants in Ballymena are a part of the largest network of accountants who offer a wealth of experience and expertise to over 65,000 small businesses right across the UK. We help a diverse range of small businesses including start-ups, sole traders, limited companies and landlords who operate in many industries. Ian Aiken FCMA is a TaxAssist Accountant with many years experience in industry offering clients a personal service. Clients benefit from the core accountancy services plus other additional services which help clients build their business and gain good contacts locally. TaxAssist Accountants offer: 1) Personal Service - Visiting clients at home or business in or out of normal working hours, both for initial meetings and collection of books etc. 2) Customer Satisfaction - Business standards in place to ensure deadlines always met and clients always happy. 3) Value for money - An agreed fixed price, no hidden charges or surprises and the option to pay monthly with no interest charges. In summary, providing a high quality, fast reliable service at a competitive price. Taxassist Accountants are located on Linenhall Street between the Merchant Fish and Chip shop and Samuel Cummings Solicitors. Parking is free in front of the shop for 30 minutes only or in local pay car parks eg on Galgorm Street. Ian Aiken and Taxasssit are menbers of the Ballymena Chamber of Commerce and Ian sits on the Management Committee. Taxassist Accountants have been established in Ballymena since 2012 and have been on Linenhall street since 2013. We serve the local area including the towns or villages of Ahoghill, Antrim, Cullybackey, Broughshane, Cargan etc.",finance
31,"We offer different kind of met fabracation services from kitchen installations commercial and repairs to preventative maintenance and 24/7 emergency service, our properly trained, skilled and experienced staff ensures meticulous attention to all projects, regardless of size. AVS supply and fit catering equipment to Hotels, Restaurants, Bars, Hospitals, Schools and many more locations. AVS can design and produce all aspects of Ventilation and Air Conditioning systems and all Products are made to the customers specification.",engineering
32,"With Airfibre you get Established 2008 to deliver wireless Direct Internet Access (DIA) Leased Lines to Businesses in Ireland. Services expanded to include Managed Firewall as a Service (FaaS) and Managed WiFi for business as a Service (WaaS). 100% independent of Eircom or BT Leased Lines. One of the most powerful IP Networks in Ireland to support business Internet needs. Hybrid Wireless/Fibre Military Grade Infrastructure. Optimised Business Internet Broadband for Cloud & multi-media technologies. Service attitude that is better than any other in the industry for stable Internet Leased Line, Firewall and WiFi for business services.",it
33,"AKTA Cleaning Supplies Ltd was established in 1986 and has been run as a family enterprise since its inception. We supply a wide range of the leading cleaning chemicals & detergents, paper products, refuse sacks & bin liners, soaps, gloves, cleaning equipment and many more products to every sector of business across Ireland. We are currently the leader in supplying cleaning products to the largest chains of childcare groups in Ireland.We provide a comprehensive range of products at very competitive prices and we also have built up a strong reputation with our current customers through our pricing and excellent product knowledge and delivery service. As our policy is to support Irish businesses and jobs, we source all of our products in Ireland. Our goal is to provide our current and new customers with an excellent service and prices to match.",industry
34,"At Alan Keane & Co we value the strategic impact of our our partnership and we use this to our client's advantage. Our proposition is fundamentally based on using the respective skills, experience and background of our principals to deliver a financial package that adds real value to our clients. We deliver improved results for our clients business. We achieve this by working in partnership with our client. Our proposition is too small and medium sized companies, those who need the capability of a strong Accountant in the same way as larger organisation but have limited financial resources to engage this capability on a full time basis.",finance
35,"At Aldor Control Services we don't just provide doors - we provide solutions. If you're in the market for industrial doors, roller shutters, garage doors, traffic barriers, pedestrian access products, dock levellers , loading bay equipment, awnings or outdoor area solutions we've got it covered. Established in 1998, we have a wealth of experience in this sector. We manufacture our own roller shutters using only top quality components. In fact, quality is what drives us forward and is at the forefront of every product we supply.",construction
